"","time_string","state","value","week","season"
"1","Anzahl.71","A00..00",12,NA,NA
"2","Anzahl.71","A01..01",14,NA,NA
"3","Anzahl.71","A02..02",7,NA,NA
"4","Anzahl.71","A03..03",3,NA,NA
"5","Anzahl.71","A04..04",4,NA,NA
"6","Anzahl.71","A05..05",1,NA,NA
"7","Anzahl.71","A06..06",2,NA,NA
"8","Anzahl.71","A07..07",1,NA,NA
"9","Anzahl.71","A11..11",1,NA,NA
"10","Anzahl.71","A15..15",2,NA,NA
"11","Anzahl.71","A19..19",1,NA,NA
"12","Anzahl.71","A21..21",1,NA,NA
"13","Anzahl.71","A22..22",1,NA,NA
"14","Anzahl.71","A26..26",2,NA,NA
"15","Anzahl.71","A27..27",2,NA,NA
"16","Anzahl.71","A29..29",3,NA,NA
"17","Anzahl.71","A31..31",2,NA,NA
"18","Anzahl.71","A32..32",4,NA,NA
"19","Anzahl.71","A33..33",5,NA,NA
"20","Anzahl.71","A34..34",4,NA,NA
"21","Anzahl.71","A35..35",1,NA,NA
"22","Anzahl.71","A36..36",1,NA,NA
"23","Anzahl.71","A37..37",5,NA,NA
"24","Anzahl.71","A38..38",3,NA,NA
"25","Anzahl.71","A39..39",5,NA,NA
"26","Anzahl.71","A40..40",1,NA,NA
"27","Anzahl.71","A41..41",4,NA,NA
"28","Anzahl.71","A42..42",5,NA,NA
"29","Anzahl.71","A43..43",2,NA,NA
"30","Anzahl.71","A44..44",6,NA,NA
"31","Anzahl.71","A45..45",4,NA,NA
"32","Anzahl.71","A46..46",6,NA,NA
"33","Anzahl.71","A47..47",5,NA,NA
"34","Anzahl.71","A48..48",3,NA,NA
"35","Anzahl.71","A49..49",4,NA,NA
"36","Anzahl.71","A50..50",9,NA,NA
"37","Anzahl.71","A51..51",6,NA,NA
"38","Anzahl.71","A52..52",5,NA,NA
"39","Anzahl.71","A53..53",8,NA,NA
"40","Anzahl.71","A54..54",13,NA,NA
"41","Anzahl.71","A55..55",13,NA,NA
"42","Anzahl.71","A56..56",9,NA,NA
"43","Anzahl.71","A57..57",7,NA,NA
"44","Anzahl.71","A58..58",13,NA,NA
"45","Anzahl.71","A59..59",16,NA,NA
"46","Anzahl.71","A60..60",19,NA,NA
"47","Anzahl.71","A61..61",12,NA,NA
"48","Anzahl.71","A62..62",20,NA,NA
"49","Anzahl.71","A63..63",15,NA,NA
"50","Anzahl.71","A64..64",20,NA,NA
"51","Anzahl.71","A65..65",11,NA,NA
"52","Anzahl.71","A66..66",9,NA,NA
"53","Anzahl.71","A67..67",22,NA,NA
"54","Anzahl.71","A68..68",13,NA,NA
"55","Anzahl.71","A69..69",12,NA,NA
"56","Anzahl.71","A70..70",12,NA,NA
"57","Anzahl.71","A71..71",16,NA,NA
"58","Anzahl.71","A72..72",15,NA,NA
"59","Anzahl.71","A73..73",15,NA,NA
"60","Anzahl.71","A74..74",14,NA,NA
"61","Anzahl.71","A75..75",10,NA,NA
"62","Anzahl.71","A76..76",5,NA,NA
"63","Anzahl.71","A77..77",17,NA,NA
"64","Anzahl.71","A78..78",14,NA,NA
"65","Anzahl.71","A79..79",12,NA,NA
"66","Anzahl.71","A80.",151,NA,NA
"67","Anzahl.71","A00..00",3,NA,NA
"68","Anzahl.71","A01..01",9,NA,NA
"69","Anzahl.71","A02..02",5,NA,NA
"70","Anzahl.71","A03..03",5,NA,NA
"71","Anzahl.71","A04..04",1,NA,NA
"72","Anzahl.71","A07..07",1,NA,NA
"73","Anzahl.71","A13..13",1,NA,NA
"74","Anzahl.71","A15..15",1,NA,NA
"75","Anzahl.71","A16..16",1,NA,NA
"76","Anzahl.71","A21..21",1,NA,NA
"77","Anzahl.71","A23..23",2,NA,NA
"78","Anzahl.71","A28..28",1,NA,NA
"79","Anzahl.71","A30..30",3,NA,NA
"80","Anzahl.71","A31..31",1,NA,NA
"81","Anzahl.71","A32..32",3,NA,NA
"82","Anzahl.71","A33..33",2,NA,NA
"83","Anzahl.71","A34..34",3,NA,NA
"84","Anzahl.71","A35..35",4,NA,NA
"85","Anzahl.71","A36..36",5,NA,NA
"86","Anzahl.71","A38..38",2,NA,NA
"87","Anzahl.71","A39..39",5,NA,NA
"88","Anzahl.71","A40..40",4,NA,NA
"89","Anzahl.71","A41..41",5,NA,NA
"90","Anzahl.71","A42..42",2,NA,NA
"91","Anzahl.71","A43..43",5,NA,NA
"92","Anzahl.71","A44..44",3,NA,NA
"93","Anzahl.71","A45..45",1,NA,NA
"94","Anzahl.71","A46..46",2,NA,NA
"95","Anzahl.71","A47..47",1,NA,NA
"96","Anzahl.71","A48..48",4,NA,NA
"97","Anzahl.71","A49..49",3,NA,NA
"98","Anzahl.71","A50..50",7,NA,NA
"99","Anzahl.71","A51..51",5,NA,NA
"100","Anzahl.71","A52..52",7,NA,NA
"101","Anzahl.71","A53..53",5,NA,NA
"102","Anzahl.71","A54..54",9,NA,NA
"103","Anzahl.71","A55..55",5,NA,NA
"104","Anzahl.71","A56..56",7,NA,NA
"105","Anzahl.71","A57..57",17,NA,NA
"106","Anzahl.71","A58..58",9,NA,NA
"107","Anzahl.71","A59..59",8,NA,NA
"108","Anzahl.71","A60..60",19,NA,NA
"109","Anzahl.71","A61..61",16,NA,NA
"110","Anzahl.71","A62..62",15,NA,NA
"111","Anzahl.71","A63..63",14,NA,NA
"112","Anzahl.71","A64..64",13,NA,NA
"113","Anzahl.71","A65..65",8,NA,NA
"114","Anzahl.71","A66..66",14,NA,NA
"115","Anzahl.71","A67..67",10,NA,NA
"116","Anzahl.71","A68..68",15,NA,NA
"117","Anzahl.71","A69..69",13,NA,NA
"118","Anzahl.71","A70..70",15,NA,NA
"119","Anzahl.71","A71..71",12,NA,NA
"120","Anzahl.71","A72..72",14,NA,NA
"121","Anzahl.71","A73..73",1,NA,NA
"122","Anzahl.71","A74..74",9,NA,NA
"123","Anzahl.71","A75..75",6,NA,NA
"124","Anzahl.71","A76..76",12,NA,NA
"125","Anzahl.71","A77..77",11,NA,NA
"126","Anzahl.71","A78..78",16,NA,NA
"127","Anzahl.71","A79..79",20,NA,NA
"128","Anzahl.71","A80.",130,NA,NA
"129","Anzahl.71","A00..00",2,NA,NA
"130","Anzahl.71","A01..01",15,NA,NA
"131","Anzahl.71","A02..02",4,NA,NA
"132","Anzahl.71","A04..04",2,NA,NA
"133","Anzahl.71","A06..06",1,NA,NA
"134","Anzahl.71","A07..07",2,NA,NA
"135","Anzahl.71","A11..11",1,NA,NA
"136","Anzahl.71","A13..13",1,NA,NA
"137","Anzahl.71","A15..15",1,NA,NA
"138","Anzahl.71","A19..19",2,NA,NA
"139","Anzahl.71","A21..21",1,NA,NA
"140","Anzahl.71","A22..22",1,NA,NA
"141","Anzahl.71","A27..27",3,NA,NA
"142","Anzahl.71","A28..28",1,NA,NA
"143","Anzahl.71","A29..29",1,NA,NA
"144","Anzahl.71","A30..30",2,NA,NA
"145","Anzahl.71","A31..31",3,NA,NA
"146","Anzahl.71","A32..32",4,NA,NA
