"","time_string","state","value","week","season"
"1","2019/20 SW27 (KW01)","Baden.WÃ.rttemberg",NA,27,2019
"2","2019/20 SW28 (KW02)","Baden.WÃ.rttemberg",NA,28,2019
"3","2019/20 SW29 (KW03)","Baden.WÃ.rttemberg",NA,29,2019
"4","2019/20 SW30 (KW04)","Baden.WÃ.rttemberg",NA,30,2019
"5","2019/20 SW31 (KW05)","Baden.WÃ.rttemberg",NA,31,2019
"6","2019/20 SW32 (KW06)","Baden.WÃ.rttemberg",NA,32,2019
"7","2019/20 SW33 (KW07)","Baden.WÃ.rttemberg",NA,33,2019
"8","2019/20 SW34 (KW08)","Baden.WÃ.rttemberg",NA,34,2019
"9","2019/20 SW35 (KW09)","Baden.WÃ.rttemberg",NA,35,2019
"10","2019/20 SW36 (KW10)","Baden.WÃ.rttemberg",NA,36,2019
"11","2019/20 SW37 (KW11)","Baden.WÃ.rttemberg",NA,37,2019
"12","2019/20 SW38 (KW12)","Baden.WÃ.rttemberg",NA,38,2019
"13","2019/20 SW39 (KW13)","Baden.WÃ.rttemberg",NA,39,2019
"14","2019/20 SW40 (KW14)","Baden.WÃ.rttemberg",NA,40,2019
"15","2019/20 SW41 (KW15)","Baden.WÃ.rttemberg",NA,41,2019
"16","2019/20 SW42 (KW16)","Baden.WÃ.rttemberg",NA,42,2019
"17","2019/20 SW43 (KW17)","Baden.WÃ.rttemberg",NA,43,2019
"18","2019/20 SW44 (KW18)","Baden.WÃ.rttemberg",NA,44,2019
"19","2019/20 SW45 (KW19)","Baden.WÃ.rttemberg",NA,45,2019
"20","2019/20 SW46 (KW20)","Baden.WÃ.rttemberg",NA,46,2019
"21","2019/20 SW47 (KW21)","Baden.WÃ.rttemberg",NA,47,2019
"22","2019/20 SW48 (KW22)","Baden.WÃ.rttemberg",NA,48,2019
"23","2019/20 SW50 (KW24)","Baden.WÃ.rttemberg",NA,50,2019
"24","2019/20 SW51 (KW25)","Baden.WÃ.rttemberg",NA,51,2019
"25","2019/20 SW52 (KW26)","Baden.WÃ.rttemberg",NA,52,2019
"26","2020/21 SW01 (KW27)","Baden.WÃ.rttemberg",NA,1,2020
"27","2020/21 SW02 (KW28)","Baden.WÃ.rttemberg",NA,2,2020
"28","2020/21 SW03 (KW29)","Baden.WÃ.rttemberg",NA,3,2020
"29","2020/21 SW04 (KW30)","Baden.WÃ.rttemberg",NA,4,2020
"30","2020/21 SW05 (KW31)","Baden.WÃ.rttemberg",NA,5,2020
"31","2020/21 SW06 (KW32)","Baden.WÃ.rttemberg",NA,6,2020
"32","2020/21 SW07 (KW33)","Baden.WÃ.rttemberg",NA,7,2020
"33","2020/21 SW08 (KW34)","Baden.WÃ.rttemberg",NA,8,2020
"34","2020/21 SW09 (KW35)","Baden.WÃ.rttemberg",NA,9,2020
