"stratum","value","week","year"
"A00..00",241,1,2025
"A00..00",242,2,2025
"A00..00",222,3,2025
"A00..00",346,4,2025
"A00..00",407,5,2025
"A01..01",143,1,2025
"A01..01",152,2,2025
"A01..01",230,3,2025
"A01..01",409,4,2025
"A01..01",482,5,2025
"A02..02",84,1,2025
"A02..02",91,2,2025
"A02..02",195,3,2025
"A02..02",390,4,2025
"A02..02",397,5,2025
"A03..03",59,1,2025
"A03..03",53,2,2025
"A03..03",96,3,2025
"A03..03",232,4,2025
"A03..03",232,5,2025
"A04..04",23,1,2025
"A04..04",39,2,2025
"A04..04",75,3,2025
"A04..04",129,4,2025
"A04..04",147,5,2025
"A05..05",19,1,2025
"A05..05",24,2,2025
"A05..05",33,3,2025
"A05..05",84,4,2025
"A05..05",90,5,2025
"A06..06",10,1,2025
"A06..06",11,2,2025
"A06..06",22,3,2025
"A06..06",58,4,2025
"A06..06",64,5,2025
"A07..07",11,1,2025
"A07..07",14,2,2025
"A07..07",15,3,2025
"A07..07",38,4,2025
"A07..07",45,5,2025
"A08..08",3,1,2025
"A08..08",17,2,2025
"A08..08",24,3,2025
"A08..08",31,4,2025
"A08..08",41,5,2025
"A09..09",3,1,2025
"A09..09",16,2,2025
"A09..09",11,3,2025
"A09..09",31,4,2025
"A09..09",32,5,2025
"A10..10",4,1,2025
"A10..10",5,2,2025
"A10..10",16,3,2025
"A10..10",26,4,2025
"A10..10",15,5,2025
"A11..11",2,1,2025
"A11..11",2,2,2025
"A11..11",6,3,2025
"A11..11",11,4,2025
"A11..11",23,5,2025
"A12..12",2,1,2025
"A12..12",2,2,2025
"A12..12",7,3,2025
"A12..12",11,4,2025
"A12..12",23,5,2025
"A13..13",2,1,2025
"A13..13",8,2,2025
"A13..13",13,3,2025
"A13..13",20,4,2025
"A13..13",30,5,2025
"A14..14",3,1,2025
"A14..14",4,2,2025
"A14..14",16,3,2025
"A14..14",21,4,2025
"A14..14",20,5,2025
"A15..15",NA,1,2025
"A15..15",4,2,2025
"A15..15",10,3,2025
"A15..15",24,4,2025
"A15..15",16,5,2025
"A16..16",4,1,2025
"A16..16",9,2,2025
"A16..16",10,3,2025
"A16..16",14,4,2025
"A16..16",19,5,2025
"A17..17",1,1,2025
"A17..17",9,2,2025
"A17..17",6,3,2025
"A17..17",13,4,2025
"A17..17",17,5,2025
"A18..18",3,1,2025
"A18..18",8,2,2025
"A18..18",6,3,2025
"A18..18",15,4,2025
"A18..18",23,5,2025
"A19..19",1,1,2025
"A19..19",5,2,2025
