"","time_string","state","value","week","season"
"1","Anzahl.71","A00..00",954,NA,NA
"2","Anzahl.71","A01..01",903,NA,NA
"3","Anzahl.71","A02..02",794,NA,NA
"4","Anzahl.71","A03..03",465,NA,NA
"5","Anzahl.71","A04..04",247,NA,NA
"6","Anzahl.71","A05..05",126,NA,NA
"7","Anzahl.71","A06..06",64,NA,NA
"8","Anzahl.71","A07..07",34,NA,NA
"9","Anzahl.71","A08..08",28,NA,NA
"10","Anzahl.71","A09..09",19,NA,NA
"11","Anzahl.71","A10..10",9,NA,NA
"12","Anzahl.71","A11..11",17,NA,NA
"13","Anzahl.71","A12..12",9,NA,NA
"14","Anzahl.71","A13..13",9,NA,NA
"15","Anzahl.71","A14..14",9,NA,NA
"16","Anzahl.71","A15..15",5,NA,NA
"17","Anzahl.71","A16..16",4,NA,NA
"18","Anzahl.71","A17..17",11,NA,NA
"19","Anzahl.71","A18..18",6,NA,NA
"20","Anzahl.71","A19..19",3,NA,NA
"21","Anzahl.71","A20..20",6,NA,NA
"22","Anzahl.71","A21..21",5,NA,NA
"23","Anzahl.71","A22..22",3,NA,NA
"24","Anzahl.71","A23..23",3,NA,NA
"25","Anzahl.71","A24..24",1,NA,NA
"26","Anzahl.71","A25..25",6,NA,NA
"27","Anzahl.71","A26..26",11,NA,NA
"28","Anzahl.71","A27..27",8,NA,NA
"29","Anzahl.71","A28..28",5,NA,NA
"30","Anzahl.71","A29..29",11,NA,NA
"31","Anzahl.71","A30..30",15,NA,NA
"32","Anzahl.71","A31..31",20,NA,NA
"33","Anzahl.71","A32..32",17,NA,NA
"34","Anzahl.71","A33..33",20,NA,NA
"35","Anzahl.71","A34..34",25,NA,NA
"36","Anzahl.71","A35..35",12,NA,NA
"37","Anzahl.71","A36..36",21,NA,NA
"38","Anzahl.71","A37..37",11,NA,NA
"39","Anzahl.71","A38..38",22,NA,NA
"40","Anzahl.71","A39..39",19,NA,NA
"41","Anzahl.71","A40..40",9,NA,NA
"42","Anzahl.71","A41..41",8,NA,NA
"43","Anzahl.71","A42..42",6,NA,NA
"44","Anzahl.71","A43..43",7,NA,NA
"45","Anzahl.71","A44..44",8,NA,NA
"46","Anzahl.71","A45..45",6,NA,NA
"47","Anzahl.71","A46..46",5,NA,NA
"48","Anzahl.71","A47..47",3,NA,NA
"49","Anzahl.71","A48..48",4,NA,NA
"50","Anzahl.71","A49..49",5,NA,NA
"51","Anzahl.71","A50..50",11,NA,NA
"52","Anzahl.71","A51..51",2,NA,NA
"53","Anzahl.71","A52..52",9,NA,NA
"54","Anzahl.71","A53..53",6,NA,NA
"55","Anzahl.71","A54..54",8,NA,NA
"56","Anzahl.71","A55..55",10,NA,NA
"57","Anzahl.71","A56..56",13,NA,NA
"58","Anzahl.71","A57..57",6,NA,NA
"59","Anzahl.71","A58..58",8,NA,NA
"60","Anzahl.71","A59..59",11,NA,NA
"61","Anzahl.71","A60..60",5,NA,NA
"62","Anzahl.71","A61..61",8,NA,NA
"63","Anzahl.71","A62..62",9,NA,NA
"64","Anzahl.71","A63..63",6,NA,NA
"65","Anzahl.71","A64..64",5,NA,NA
"66","Anzahl.71","A65..65",8,NA,NA
"67","Anzahl.71","A66..66",5,NA,NA
"68","Anzahl.71","A67..67",5,NA,NA
"69","Anzahl.71","A68..68",7,NA,NA
"70","Anzahl.71","A69..69",3,NA,NA
"71","Anzahl.71","A70..70",5,NA,NA
"72","Anzahl.71","A71..71",8,NA,NA
"73","Anzahl.71","A72..72",3,NA,NA
"74","Anzahl.71","A73..73",9,NA,NA
"75","Anzahl.71","A74..74",4,NA,NA
"76","Anzahl.71","A75..75",3,NA,NA
"77","Anzahl.71","A76..76",6,NA,NA
"78","Anzahl.71","A77..77",9,NA,NA
"79","Anzahl.71","A78..78",5,NA,NA
"80","Anzahl.71","A79..79",5,NA,NA
"81","Anzahl.71","A80.",63,NA,NA
"82","Anzahl.71","A00..00",591,NA,NA
"83","Anzahl.71","A01..01",776,NA,NA
"84","Anzahl.71","A02..02",435,NA,NA
"85","Anzahl.71","A03..03",186,NA,NA
"86","Anzahl.71","A04..04",95,NA,NA
"87","Anzahl.71","A05..05",61,NA,NA
"88","Anzahl.71","A06..06",36,NA,NA
"89","Anzahl.71","A07..07",19,NA,NA
"90","Anzahl.71","A08..08",14,NA,NA
"91","Anzahl.71","A09..09",13,NA,NA
"92","Anzahl.71","A10..10",11,NA,NA
"93","Anzahl.71","A11..11",5,NA,NA
"94","Anzahl.71","A12..12",8,NA,NA
"95","Anzahl.71","A13..13",7,NA,NA
"96","Anzahl.71","A14..14",4,NA,NA
"97","Anzahl.71","A15..15",9,NA,NA
"98","Anzahl.71","A16..16",3,NA,NA
"99","Anzahl.71","A17..17",6,NA,NA
"100","Anzahl.71","A18..18",7,NA,NA
"101","Anzahl.71","A19..19",5,NA,NA
"102","Anzahl.71","A20..20",6,NA,NA
"103","Anzahl.71","A21..21",9,NA,NA
"104","Anzahl.71","A22..22",7,NA,NA
"105","Anzahl.71","A23..23",3,NA,NA
"106","Anzahl.71","A24..24",3,NA,NA
"107","Anzahl.71","A25..25",2,NA,NA
"108","Anzahl.71","A26..26",3,NA,NA
"109","Anzahl.71","A27..27",5,NA,NA
"110","Anzahl.71","A28..28",6,NA,NA
"111","Anzahl.71","A29..29",9,NA,NA
"112","Anzahl.71","A30..30",8,NA,NA
"113","Anzahl.71","A31..31",13,NA,NA
"114","Anzahl.71","A32..32",11,NA,NA
"115","Anzahl.71","A33..33",12,NA,NA
"116","Anzahl.71","A34..34",12,NA,NA
"117","Anzahl.71","A35..35",15,NA,NA
"118","Anzahl.71","A36..36",8,NA,NA
"119","Anzahl.71","A37..37",12,NA,NA
"120","Anzahl.71","A38..38",10,NA,NA
"121","Anzahl.71","A39..39",6,NA,NA
"122","Anzahl.71","A40..40",10,NA,NA
"123","Anzahl.71","A41..41",15,NA,NA
"124","Anzahl.71","A42..42",8,NA,NA
"125","Anzahl.71","A43..43",12,NA,NA
"126","Anzahl.71","A44..44",4,NA,NA
"127","Anzahl.71","A45..45",3,NA,NA
"128","Anzahl.71","A46..46",6,NA,NA
"129","Anzahl.71","A47..47",6,NA,NA
"130","Anzahl.71","A48..48",6,NA,NA
"131","Anzahl.71","A49..49",13,NA,NA
"132","Anzahl.71","A50..50",11,NA,NA
"133","Anzahl.71","A51..51",8,NA,NA
"134","Anzahl.71","A52..52",10,NA,NA
"135","Anzahl.71","A53..53",10,NA,NA
"136","Anzahl.71","A54..54",13,NA,NA
"137","Anzahl.71","A55..55",16,NA,NA
"138","Anzahl.71","A56..56",9,NA,NA
"139","Anzahl.71","A57..57",21,NA,NA
"140","Anzahl.71","A58..58",9,NA,NA
"141","Anzahl.71","A59..59",12,NA,NA
"142","Anzahl.71","A60..60",13,NA,NA
"143","Anzahl.71","A61..61",10,NA,NA
"144","Anzahl.71","A62..62",18,NA,NA
"145","Anzahl.71","A63..63",11,NA,NA
"146","Anzahl.71","A64..64",9,NA,NA
"147","Anzahl.71","A65..65",12,NA,NA
"148","Anzahl.71","A66..66",7,NA,NA
"149","Anzahl.71","A67..67",4,NA,NA
"150","Anzahl.71","A68..68",4,NA,NA
"151","Anzahl.71","A69..69",6,NA,NA
"152","Anzahl.71","A70..70",10,NA,NA
"153","Anzahl.71","A71..71",8,NA,NA
"154","Anzahl.71","A72..72",2,NA,NA
"155","Anzahl.71","A73..73",4,NA,NA
"156","Anzahl.71","A74..74",4,NA,NA
"157","Anzahl.71","A75..75",6,NA,NA
"158","Anzahl.71","A76..76",13,NA,NA
"159","Anzahl.71","A77..77",8,NA,NA
"160","Anzahl.71","A78..78",10,NA,NA
"161","Anzahl.71","A79..79",9,NA,NA
"162","Anzahl.71","A80.",91,NA,NA
"163","Anzahl.71","A00..00",1351,NA,NA
"164","Anzahl.71","A01..01",1227,NA,NA
"165","Anzahl.71","A02..02",774,NA,NA
"166","Anzahl.71","A03..03",314,NA,NA
"167","Anzahl.71","A04..04",172,NA,NA
"168","Anzahl.71","A05..05",85,NA,NA
"169","Anzahl.71","A06..06",56,NA,NA
"170","Anzahl.71","A07..07",34,NA,NA
"171","Anzahl.71","A08..08",41,NA,NA
"172","Anzahl.71","A09..09",23,NA,NA
"173","Anzahl.71","A10..10",22,NA,NA
"174","Anzahl.71","A11..11",22,NA,NA
"175","Anzahl.71","A12..12",18,NA,NA
