"","time_string","state","value","week","season"
"1","2018/19 SW27 (KW01)","Sachsen",91,27,2018
"2","2018/19 SW28 (KW02)","Sachsen",103,28,2018
"3","2018/19 SW29 (KW03)","Sachsen",221,29,2018
"4","2018/19 SW30 (KW04)","Sachsen",366,30,2018
"5","2018/19 SW31 (KW05)","Sachsen",466,31,2018
"6","2018/19 SW32 (KW06)","Sachsen",637,32,2018
"7","2018/19 SW33 (KW07)","Sachsen",700,33,2018
"8","2018/19 SW34 (KW08)","Sachsen",647,34,2018
"9","2018/19 SW35 (KW09)","Sachsen",479,35,2018
"10","2018/19 SW36 (KW10)","Sachsen",436,36,2018
"11","2018/19 SW37 (KW11)","Sachsen",389,37,2018
"12","2018/19 SW38 (KW12)","Sachsen",296,38,2018
"13","2018/19 SW39 (KW13)","Sachsen",188,39,2018
"14","2018/19 SW40 (KW14)","Sachsen",141,40,2018
"15","2018/19 SW41 (KW15)","Sachsen",79,41,2018
"16","2018/19 SW42 (KW16)","Sachsen",34,42,2018
"17","2018/19 SW43 (KW17)","Sachsen",26,43,2018
"18","2018/19 SW44 (KW18)","Sachsen",13,44,2018
"19","2018/19 SW45 (KW19)","Sachsen",11,45,2018
"20","2018/19 SW46 (KW20)","Sachsen",3,46,2018
"21","2018/19 SW47 (KW21)","Sachsen",2,47,2018
"22","2018/19 SW48 (KW22)","Sachsen",3,48,2018
"23","2018/19 SW49 (KW23)","Sachsen",3,49,2018
"24","2018/19 SW50 (KW24)","Sachsen",1,50,2018
"25","2019/20 SW02 (KW28)","Sachsen",1,2,2019
"26","2019/20 SW03 (KW29)","Sachsen",1,3,2019
"27","2019/20 SW04 (KW30)","Sachsen",1,4,2019
"28","2019/20 SW08 (KW34)","Sachsen",2,8,2019
"29","2019/20 SW10 (KW36)","Sachsen",1,10,2019
"30","2019/20 SW11 (KW37)","Sachsen",1,11,2019
"31","2019/20 SW12 (KW38)","Sachsen",1,12,2019
"32","2019/20 SW13 (KW39)","Sachsen",1,13,2019
"33","2019/20 SW14 (KW40)","Sachsen",1,14,2019
"34","2019/20 SW15 (KW41)","Sachsen",3,15,2019
"35","2019/20 SW16 (KW42)","Sachsen",1,16,2019
"36","2019/20 SW17 (KW43)","Sachsen",1,17,2019
"37","2019/20 SW18 (KW44)","Sachsen",1,18,2019
"38","2019/20 SW19 (KW45)","Sachsen",6,19,2019
"39","2019/20 SW20 (KW46)","Sachsen",2,20,2019
"40","2019/20 SW21 (KW47)","Sachsen",2,21,2019
"41","2019/20 SW22 (KW48)","Sachsen",9,22,2019
"42","2019/20 SW23 (KW49)","Sachsen",11,23,2019
"43","2019/20 SW24 (KW50)","Sachsen",16,24,2019
"44","2019/20 SW25 (KW51)","Sachsen",25,25,2019
"45","2019/20 SW26 (KW52)","Sachsen",15,26,2019
"46","2019/20 SW27 (KW01)","Sachsen",23,27,2019
"47","2019/20 SW28 (KW02)","Sachsen",52,28,2019
"48","2019/20 SW29 (KW03)","Sachsen",71,29,2019
"49","2019/20 SW30 (KW04)","Sachsen",107,30,2019
"50","2019/20 SW31 (KW05)","Sachsen",175,31,2019
"51","2019/20 SW32 (KW06)","Sachsen",240,32,2019
"52","2019/20 SW33 (KW07)","Sachsen",266,33,2019
"53","2019/20 SW34 (KW08)","Sachsen",247,34,2019
"54","2019/20 SW35 (KW09)","Sachsen",345,35,2019
"55","2019/20 SW36 (KW10)","Sachsen",399,36,2019
"56","2019/20 SW37 (KW11)","Sachsen",314,37,2019
"57","2019/20 SW38 (KW12)","Sachsen",315,38,2019
"58","2019/20 SW39 (KW13)","Sachsen",173,39,2019
"59","2019/20 SW40 (KW14)","Sachsen",85,40,2019
"60","2019/20 SW41 (KW15)","Sachsen",26,41,2019
"61","2019/20 SW42 (KW16)","Sachsen",18,42,2019
"62","2019/20 SW43 (KW17)","Sachsen",6,43,2019
"63","2019/20 SW44 (KW18)","Sachsen",8,44,2019
"64","2019/20 SW45 (KW19)","Sachsen",4,45,2019
"65","2019/20 SW46 (KW20)","Sachsen",4,46,2019
"66","2019/20 SW47 (KW21)","Sachsen",3,47,2019
"67","2019/20 SW50 (KW24)","Sachsen",4,50,2019
"68","2019/20 SW51 (KW25)","Sachsen",1,51,2019
"69","2020/21 SW05 (KW31)","Sachsen",1,5,2020
"70","2020/21 SW09 (KW35)","Sachsen",2,9,2020
"71","2020/21 SW10 (KW36)","Sachsen",7,10,2020
"72","2020/21 SW11 (KW37)","Sachsen",4,11,2020
"73","2020/21 SW12 (KW38)","Sachsen",3,12,2020
"74","2020/21 SW13 (KW39)","Sachsen",2,13,2020
"75","2020/21 SW14 (KW40)","Sachsen",1,14,2020
"76","2020/21 SW17 (KW43)","Sachsen",1,17,2020
"77","2020/21 SW18 (KW44)","Sachsen",1,18,2020
"78","2020/21 SW19 (KW45)","Sachsen",2,19,2020
"79","2020/21 SW25 (KW51)","Sachsen",2,25,2020
