"","time_string","state","value","week","season"
"1","2018/19 SW27 (KW01)","A00..00",34,27,2018
"2","2018/19 SW28 (KW02)","A00..00",37,28,2018
"3","2018/19 SW29 (KW03)","A00..00",54,29,2018
"4","2018/19 SW30 (KW04)","A00..00",107,30,2018
"5","2018/19 SW31 (KW05)","A00..00",171,31,2018
"6","2018/19 SW32 (KW06)","A00..00",279,32,2018
"7","2018/19 SW33 (KW07)","A00..00",365,33,2018
"8","2018/19 SW34 (KW08)","A00..00",448,34,2018
"9","2018/19 SW35 (KW09)","A00..00",426,35,2018
"10","2018/19 SW36 (KW10)","A00..00",355,36,2018
"11","2018/19 SW37 (KW11)","A00..00",274,37,2018
"12","2018/19 SW38 (KW12)","A00..00",250,38,2018
"13","2018/19 SW39 (KW13)","A00..00",142,39,2018
"14","2018/19 SW40 (KW14)","A00..00",95,40,2018
"15","2018/19 SW41 (KW15)","A00..00",48,41,2018
"16","2018/19 SW42 (KW16)","A00..00",25,42,2018
"17","2018/19 SW43 (KW17)","A00..00",21,43,2018
"18","2018/19 SW44 (KW18)","A00..00",16,44,2018
"19","2018/19 SW45 (KW19)","A00..00",10,45,2018
"20","2018/19 SW46 (KW20)","A00..00",3,46,2018
"21","2018/19 SW47 (KW21)","A00..00",4,47,2018
"22","2018/19 SW48 (KW22)","A00..00",2,48,2018
"23","2018/19 SW49 (KW23)","A00..00",NA,49,2018
"24","2018/19 SW50 (KW24)","A00..00",1,50,2018
"25","2018/19 SW51 (KW25)","A00..00",1,51,2018
"26","2018/19 SW52 (KW26)","A00..00",NA,52,2018
"27","2019/20 SW01 (KW27)","A00..00",NA,1,2019
"28","2019/20 SW02 (KW28)","A00..00",NA,2,2019
"29","2019/20 SW03 (KW29)","A00..00",NA,3,2019
"30","2019/20 SW04 (KW30)","A00..00",NA,4,2019
"31","2019/20 SW05 (KW31)","A00..00",1,5,2019
"32","2019/20 SW06 (KW32)","A00..00",NA,6,2019
"33","2019/20 SW07 (KW33)","A00..00",NA,7,2019
"34","2019/20 SW08 (KW34)","A00..00",NA,8,2019
"35","2019/20 SW09 (KW35)","A00..00",NA,9,2019
"36","2019/20 SW10 (KW36)","A00..00",NA,10,2019
"37","2019/20 SW11 (KW37)","A00..00",NA,11,2019
"38","2019/20 SW12 (KW38)","A00..00",NA,12,2019
"39","2019/20 SW13 (KW39)","A00..00",NA,13,2019
"40","2019/20 SW14 (KW40)","A00..00",NA,14,2019
"41","2019/20 SW15 (KW41)","A00..00",1,15,2019
"42","2019/20 SW16 (KW42)","A00..00",2,16,2019
"43","2019/20 SW17 (KW43)","A00..00",3,17,2019
"44","2019/20 SW18 (KW44)","A00..00",4,18,2019
"45","2019/20 SW19 (KW45)","A00..00",6,19,2019
"46","2019/20 SW20 (KW46)","A00..00",2,20,2019
"47","2019/20 SW21 (KW47)","A00..00",4,21,2019
"48","2019/20 SW22 (KW48)","A00..00",15,22,2019
"49","2019/20 SW23 (KW49)","A00..00",3,23,2019
"50","2019/20 SW24 (KW50)","A00..00",24,24,2019
"51","2019/20 SW25 (KW51)","A00..00",37,25,2019
"52","2019/20 SW26 (KW52)","A00..00",28,26,2019
"53","2018/19 SW27 (KW01)","A01..01",27,27,2018
"54","2018/19 SW28 (KW02)","A01..01",40,28,2018
"55","2018/19 SW29 (KW03)","A01..01",102,29,2018
