"stratum","value","week","year"
"A00..00",393,1,2023
"A00..00",50,2,2023
"A01..01",300,1,2023
"A01..01",38,2,2023
"A02..02",252,1,2023
"A02..02",39,2,2023
"A03..03",230,1,2023
"A03..03",23,2,2023
"A04..04",189,1,2023
"A04..04",33,2,2023
"A05..05",180,1,2023
"A05..05",18,2,2023
"A06..06",133,1,2023
"A06..06",12,2,2023
"A07..07",72,1,2023
"A07..07",10,2,2023
"A08..08",78,1,2023
"A08..08",11,2,2023
"A09..09",67,1,2023
"A09..09",8,2,2023
"A10..10",59,1,2023
"A10..10",3,2,2023
"A11..11",62,1,2023
"A11..11",6,2,2023
"A12..12",56,1,2023
"A12..12",8,2,2023
"A13..13",49,1,2023
"A13..13",11,2,2023
"A14..14",63,1,2023
"A14..14",9,2,2023
"A15..15",42,1,2023
"A15..15",12,2,2023
"A16..16",81,1,2023
"A16..16",12,2,2023
"A17..17",88,1,2023
"A17..17",16,2,2023
"A18..18",98,1,2023
"A18..18",18,2,2023
"A19..19",106,1,2023
"A19..19",20,2,2023
"A20..20",143,1,2023
"A20..20",23,2,2023
"A21..21",128,1,2023
"A21..21",18,2,2023
"A22..22",150,1,2023
"A22..22",22,2,2023
"A23..23",172,1,2023
"A23..23",11,2,2023
"A24..24",147,1,2023
"A24..24",17,2,2023
"A25..25",172,1,2023
"A25..25",24,2,2023
"A26..26",148,1,2023
"A26..26",20,2,2023
"A27..27",150,1,2023
"A27..27",25,2,2023
"A28..28",163,1,2023
"A28..28",24,2,2023
"A29..29",168,1,2023
"A29..29",21,2,2023
"A30..30",157,1,2023
"A30..30",19,2,2023
"A31..31",153,1,2023
"A31..31",34,2,2023
"A32..32",207,1,2023
"A32..32",19,2,2023
"A33..33",195,1,2023
"A33..33",23,2,2023
"A34..34",192,1,2023
"A34..34",21,2,2023
"A35..35",164,1,2023
"A35..35",23,2,2023
"A36..36",162,1,2023
"A36..36",18,2,2023
"A37..37",164,1,2023
"A37..37",20,2,2023
"A38..38",142,1,2023
"A38..38",12,2,2023
"A39..39",164,1,2023
"A39..39",12,2,2023
"A40..40",143,1,2023
"A40..40",13,2,2023
"A41..41",131,1,2023
"A41..41",17,2,2023
"A42..42",138,1,2023
"A42..42",18,2,2023
"A43..43",101,1,2023
"A43..43",11,2,2023
"A44..44",139,1,2023
"A44..44",19,2,2023
"A45..45",117,1,2023
"A45..45",13,2,2023
"A46..46",117,1,2023
"A46..46",13,2,2023
"A47..47",96,1,2023
"A47..47",8,2,2023
"A48..48",105,1,2023
"A48..48",15,2,2023
"A49..49",86,1,2023
"A49..49",11,2,2023
"A50..50",97,1,2023
"A50..50",15,2,2023
"A51..51",137,1,2023
"A51..51",11,2,2023
"A52..52",115,1,2023
"A52..52",18,2,2023
"A53..53",125,1,2023
"A53..53",18,2,2023
"A54..54",176,1,2023
"A54..54",14,2,2023
"A55..55",163,1,2023
"A55..55",23,2,2023
"A56..56",191,1,2023
"A56..56",21,2,2023
"A57..57",170,1,2023
"A57..57",19,2,2023
"A58..58",193,1,2023
"A58..58",17,2,2023
"A59..59",196,1,2023
"A59..59",19,2,2023
"A60..60",201,1,2023
"A60..60",19,2,2023
"A61..61",212,1,2023
"A61..61",21,2,2023
"A62..62",189,1,2023
"A62..62",25,2,2023
"A63..63",184,1,2023
"A63..63",23,2,2023
"A64..64",172,1,2023
"A64..64",21,2,2023
"A65..65",139,1,2023
"A65..65",20,2,2023
"A66..66",155,1,2023
"A66..66",19,2,2023
"A67..67",151,1,2023
"A67..67",15,2,2023
"A68..68",145,1,2023
"A68..68",29,2,2023
"A69..69",158,1,2023
"A69..69",18,2,2023
"A70..70",144,1,2023
"A70..70",20,2,2023
"A71..71",176,1,2023
"A71..71",20,2,2023
"A72..72",144,1,2023
"A72..72",18,2,2023
"A73..73",163,1,2023
"A73..73",17,2,2023
"A74..74",146,1,2023
"A74..74",26,2,2023
"A75..75",131,1,2023
"A75..75",15,2,2023
"A76..76",138,1,2023
"A76..76",13,2,2023
"A77..77",124,1,2023
"A77..77",12,2,2023
"A78..78",171,1,2023
"A78..78",27,2,2023
"A79..79",190,1,2023
"A79..79",20,2,2023
"A80.",2411,1,2023
"A80.",310,2,2023
"Unbekannt",26,1,2023
"Unbekannt",4,2,2023
"A00..00",11,1,2022
"A00..00",6,2,2022
"A00..00",6,3,2022
"A00..00",8,4,2022
"A00..00",6,5,2022
"A00..00",2,6,2022
"A00..00",7,7,2022
"A00..00",4,8,2022
"A00..00",3,9,2022
"A00..00",8,10,2022
"A00..00",10,11,2022
"A00..00",16,12,2022
"A00..00",12,13,2022
"A00..00",15,14,2022
"A00..00",15,15,2022
"A00..00",28,16,2022
"A00..00",22,17,2022
"A00..00",29,18,2022
"A00..00",37,19,2022
"A00..00",24,20,2022
"A00..00",19,21,2022
"A00..00",11,22,2022
"A00..00",7,23,2022
"A00..00",6,24,2022
"A00..00",6,25,2022
"A00..00",7,26,2022
"A00..00",2,27,2022
"A00..00",2,28,2022
"A00..00",11,29,2022
"A00..00",3,30,2022
"A00..00",NA,31,2022
"A00..00",2,32,2022
"A00..00",3,33,2022
"A00..00",3,34,2022
"A00..00",3,35,2022
"A00..00",3,36,2022
"A00..00",2,37,2022
"A00..00",5,38,2022
"A00..00",5,39,2022
"A00..00",14,40,2022
"A00..00",32,41,2022
"A00..00",38,42,2022
"A00..00",48,43,2022
"A00..00",67,44,2022
"A00..00",86,45,2022
"A00..00",130,46,2022
"A00..00",221,47,2022
"A00..00",443,48,2022
"A00..00",760,49,2022
"A00..00",987,50,2022
"A00..00",1005,51,2022
"A00..00",540,52,2022
"A01..01",5,1,2022
"A01..01",6,2,2022
"A01..01",6,3,2022
"A01..01",5,4,2022
"A01..01",11,5,2022
"A01..01",16,6,2022
"A01..01",6,7,2022
"A01..01",19,8,2022
"A01..01",6,9,2022
"A01..01",6,10,2022
"A01..01",12,11,2022
"A01..01",9,12,2022
"A01..01",15,13,2022
"A01..01",20,14,2022
"A01..01",23,15,2022
"A01..01",22,16,2022
"A01..01",39,17,2022
"A01..01",42,18,2022
"A01..01",48,19,2022
"A01..01",38,20,2022
"A01..01",18,21,2022
"A01..01",12,22,2022
"A01..01",13,23,2022
"A01..01",12,24,2022
"A01..01",8,25,2022
"A01..01",4,26,2022
"A01..01",3,27,2022
"A01..01",2,28,2022
"A01..01",2,29,2022
"A01..01",3,30,2022
"A01..01",1,31,2022
"A01..01",2,32,2022
"A01..01",NA,33,2022
"A01..01",3,34,2022
"A01..01",1,35,2022
"A01..01",2,36,2022
"A01..01",1,37,2022
"A01..01",7,38,2022
"A01..01",11,39,2022
"A01..01",20,40,2022
"A01..01",26,41,2022
"A01..01",45,42,2022
"A01..01",43,43,2022
"A01..01",48,44,2022
"A01..01",103,45,2022
"A01..01",136,46,2022
"A01..01",246,47,2022
"A01..01",523,48,2022
"A01..01",936,49,2022
"A01..01",1182,50,2022
"A01..01",1128,51,2022
"A01..01",531,52,2022
"A02..02",5,1,2022
"A02..02",9,2,2022
"A02..02",9,3,2022
"A02..02",11,4,2022
"A02..02",11,5,2022
"A02..02",15,6,2022
"A02..02",10,7,2022
"A02..02",9,8,2022
"A02..02",12,9,2022
"A02..02",6,10,2022
"A02..02",6,11,2022
"A02..02",13,12,2022
"A02..02",18,13,2022
"A02..02",31,14,2022
"A02..02",31,15,2022
"A02..02",24,16,2022
"A02..02",40,17,2022
"A02..02",40,18,2022
"A02..02",63,19,2022
"A02..02",43,20,2022
"A02..02",29,21,2022
"A02..02",17,22,2022
"A02..02",16,23,2022
"A02..02",23,24,2022
"A02..02",7,25,2022
"A02..02",9,26,2022
"A02..02",4,27,2022
"A02..02",2,28,2022
"A02..02",5,29,2022
"A02..02",2,30,2022
"A02..02",1,31,2022
"A02..02",2,32,2022
"A02..02",4,33,2022
"A02..02",7,34,2022
"A02..02",5,35,2022
"A02..02",4,36,2022
"A02..02",4,37,2022
"A02..02",3,38,2022
"A02..02",7,39,2022
"A02..02",15,40,2022
"A02..02",43,41,2022
"A02..02",45,42,2022
"A02..02",52,43,2022
"A02..02",51,44,2022
"A02..02",127,45,2022
"A02..02",156,46,2022
"A02..02",300,47,2022
"A02..02",665,48,2022
"A02..02",1031,49,2022
"A02..02",1260,50,2022
"A02..02",1163,51,2022
"A02..02",485,52,2022
"A03..03",3,1,2022
"A03..03",6,2,2022
"A03..03",23,3,2022
"A03..03",13,4,2022
"A03..03",16,5,2022
"A03..03",18,6,2022
"A03..03",9,7,2022
