"","time_string","state","value","week","season"
"1","Anzahl.71","A00..00",16,NA,NA
"2","Anzahl.71","A01..01",26,NA,NA
"3","Anzahl.71","A02..02",13,NA,NA
"4","Anzahl.71","A03..03",11,NA,NA
"5","Anzahl.71","A04..04",10,NA,NA
"6","Anzahl.71","A05..05",11,NA,NA
"7","Anzahl.71","A06..06",8,NA,NA
"8","Anzahl.71","A07..07",4,NA,NA
"9","Anzahl.71","A08..08",6,NA,NA
"10","Anzahl.71","A09..09",6,NA,NA
"11","Anzahl.71","A10..10",2,NA,NA
"12","Anzahl.71","A11..11",4,NA,NA
"13","Anzahl.71","A12..12",6,NA,NA
"14","Anzahl.71","A13..13",2,NA,NA
"15","Anzahl.71","A14..14",3,NA,NA
"16","Anzahl.71","A16..16",4,NA,NA
"17","Anzahl.71","A17..17",3,NA,NA
"18","Anzahl.71","A18..18",9,NA,NA
"19","Anzahl.71","A19..19",6,NA,NA
"20","Anzahl.71","A20..20",11,NA,NA
"21","Anzahl.71","A21..21",8,NA,NA
"22","Anzahl.71","A22..22",8,NA,NA
"23","Anzahl.71","A23..23",10,NA,NA
"24","Anzahl.71","A24..24",8,NA,NA
"25","Anzahl.71","A25..25",5,NA,NA
"26","Anzahl.71","A26..26",4,NA,NA
"27","Anzahl.71","A27..27",6,NA,NA
"28","Anzahl.71","A28..28",4,NA,NA
"29","Anzahl.71","A29..29",8,NA,NA
"30","Anzahl.71","A30..30",8,NA,NA
"31","Anzahl.71","A31..31",2,NA,NA
"32","Anzahl.71","A32..32",6,NA,NA
"33","Anzahl.71","A33..33",5,NA,NA
"34","Anzahl.71","A34..34",3,NA,NA
"35","Anzahl.71","A35..35",7,NA,NA
"36","Anzahl.71","A36..36",9,NA,NA
"37","Anzahl.71","A37..37",6,NA,NA
"38","Anzahl.71","A38..38",4,NA,NA
"39","Anzahl.71","A39..39",7,NA,NA
"40","Anzahl.71","A40..40",8,NA,NA
"41","Anzahl.71","A41..41",2,NA,NA
"42","Anzahl.71","A42..42",6,NA,NA
"43","Anzahl.71","A43..43",4,NA,NA
"44","Anzahl.71","A44..44",7,NA,NA
"45","Anzahl.71","A45..45",2,NA,NA
"46","Anzahl.71","A46..46",4,NA,NA
"47","Anzahl.71","A47..47",2,NA,NA
"48","Anzahl.71","A48..48",4,NA,NA
"49","Anzahl.71","A49..49",1,NA,NA
"50","Anzahl.71","A50..50",6,NA,NA
"51","Anzahl.71","A51..51",10,NA,NA
"52","Anzahl.71","A52..52",2,NA,NA
"53","Anzahl.71","A53..53",5,NA,NA
"54","Anzahl.71","A54..54",7,NA,NA
"55","Anzahl.71","A55..55",5,NA,NA
"56","Anzahl.71","A56..56",15,NA,NA
"57","Anzahl.71","A57..57",7,NA,NA
"58","Anzahl.71","A58..58",9,NA,NA
"59","Anzahl.71","A59..59",2,NA,NA
"60","Anzahl.71","A60..60",8,NA,NA
"61","Anzahl.71","A61..61",8,NA,NA
"62","Anzahl.71","A62..62",4,NA,NA
"63","Anzahl.71","A63..63",6,NA,NA
"64","Anzahl.71","A64..64",9,NA,NA
"65","Anzahl.71","A65..65",5,NA,NA
"66","Anzahl.71","A66..66",6,NA,NA
"67","Anzahl.71","A67..67",3,NA,NA
"68","Anzahl.71","A68..68",8,NA,NA
"69","Anzahl.71","A69..69",5,NA,NA
"70","Anzahl.71","A70..70",7,NA,NA
"71","Anzahl.71","A71..71",6,NA,NA
"72","Anzahl.71","A72..72",13,NA,NA
"73","Anzahl.71","A73..73",4,NA,NA
"74","Anzahl.71","A74..74",4,NA,NA
"75","Anzahl.71","A75..75",6,NA,NA
"76","Anzahl.71","A76..76",4,NA,NA
"77","Anzahl.71","A77..77",4,NA,NA
"78","Anzahl.71","A78..78",7,NA,NA
"79","Anzahl.71","A79..79",8,NA,NA
"80","Anzahl.71","A80.",69,NA,NA
"81","Anzahl.71","Unbekannt",1,NA,NA
"82","Anzahl.71","A00..00",3434,NA,NA
"83","Anzahl.71","A01..01",5477,NA,NA
"84","Anzahl.71","A02..02",6339,NA,NA
"85","Anzahl.71","A03..03",7010,NA,NA
"86","Anzahl.71","A04..04",6253,NA,NA
"87","Anzahl.71","A05..05",5615,NA,NA
"88","Anzahl.71","A06..06",4775,NA,NA
"89","Anzahl.71","A07..07",4389,NA,NA
"90","Anzahl.71","A08..08",3825,NA,NA
"91","Anzahl.71","A09..09",3504,NA,NA
"92","Anzahl.71","A10..10",3002,NA,NA
"93","Anzahl.71","A11..11",2733,NA,NA
"94","Anzahl.71","A12..12",2611,NA,NA
"95","Anzahl.71","A13..13",2503,NA,NA
"96","Anzahl.71","A14..14",2474,NA,NA
"97","Anzahl.71","A15..15",2473,NA,NA
"98","Anzahl.71","A16..16",2287,NA,NA
"99","Anzahl.71","A17..17",2165,NA,NA
"100","Anzahl.71","A18..18",1967,NA,NA
"101","Anzahl.71","A19..19",2982,NA,NA
"102","Anzahl.71","A20..20",1912,NA,NA
"103","Anzahl.71","A21..21",1540,NA,NA
"104","Anzahl.71","A22..22",1636,NA,NA
"105","Anzahl.71","A23..23",1552,NA,NA
"106","Anzahl.71","A24..24",1568,NA,NA
"107","Anzahl.71","A25..25",1604,NA,NA
"108","Anzahl.71","A26..26",1808,NA,NA
"109","Anzahl.71","A27..27",2021,NA,NA
"110","Anzahl.71","A28..28",2239,NA,NA
