"stratum","value","week","year"
"Baden.WÃ.rttemberg",5,1,2022
"Baden.WÃ.rttemberg",5,2,2022
"Baden.WÃ.rttemberg",3,3,2022
"Baden.WÃ.rttemberg",5,4,2022
"Baden.WÃ.rttemberg",8,5,2022
"Baden.WÃ.rttemberg",2,6,2022
"Baden.WÃ.rttemberg",1,7,2022
"Baden.WÃ.rttemberg",2,8,2022
"Baden.WÃ.rttemberg",1,9,2022
"Baden.WÃ.rttemberg",5,10,2022
"Baden.WÃ.rttemberg",1,11,2022
"Baden.WÃ.rttemberg",2,12,2022
"Baden.WÃ.rttemberg",1,13,2022
"Baden.WÃ.rttemberg",2,14,2022
"Baden.WÃ.rttemberg",6,15,2022
"Baden.WÃ.rttemberg",5,16,2022
"Baden.WÃ.rttemberg",6,17,2022
"Baden.WÃ.rttemberg",1,18,2022
"Baden.WÃ.rttemberg",3,19,2022
"Baden.WÃ.rttemberg",8,20,2022
"Baden.WÃ.rttemberg",2,21,2022
"Baden.WÃ.rttemberg",6,22,2022
"Baden.WÃ.rttemberg",9,23,2022
"Baden.WÃ.rttemberg",8,24,2022
"Baden.WÃ.rttemberg",9,25,2022
"Baden.WÃ.rttemberg",17,26,2022
"Baden.WÃ.rttemberg",9,27,2022
"Baden.WÃ.rttemberg",9,28,2022
"Baden.WÃ.rttemberg",9,29,2022
"Baden.WÃ.rttemberg",2,30,2022
"Baden.WÃ.rttemberg",1,31,2022
"Baden.WÃ.rttemberg",6,32,2022
"Baden.WÃ.rttemberg",2,33,2022
"Baden.WÃ.rttemberg",4,34,2022
"Baden.WÃ.rttemberg",7,35,2022
"Baden.WÃ.rttemberg",11,36,2022
"Baden.WÃ.rttemberg",11,37,2022
"Baden.WÃ.rttemberg",14,38,2022
"Baden.WÃ.rttemberg",9,39,2022
"Baden.WÃ.rttemberg",9,40,2022
"Baden.WÃ.rttemberg",7,41,2022
"Baden.WÃ.rttemberg",11,42,2022
"Baden.WÃ.rttemberg",3,43,2022
"Baden.WÃ.rttemberg",6,44,2022
"Baden.WÃ.rttemberg",8,45,2022
"Baden.WÃ.rttemberg",1,46,2022
"Baden.WÃ.rttemberg",6,47,2022
"Baden.WÃ.rttemberg",8,48,2022
"Baden.WÃ.rttemberg",9,49,2022
"Baden.WÃ.rttemberg",3,50,2022
"Bayern",8,1,2022
"Bayern",9,2,2022
"Bayern",8,3,2022
"Bayern",4,4,2022
"Bayern",7,5,2022
"Bayern",4,6,2022
"Bayern",5,7,2022
"Bayern",9,8,2022
"Bayern",4,9,2022
"Bayern",4,10,2022
"Bayern",5,11,2022
"Bayern",4,12,2022
"Bayern",7,13,2022
"Bayern",4,14,2022
"Bayern",5,15,2022
"Bayern",9,16,2022
"Bayern",10,17,2022
"Bayern",12,18,2022
"Bayern",3,19,2022
"Bayern",5,20,2022
"Bayern",2,21,2022
"Bayern",8,22,2022
"Bayern",11,23,2022
"Bayern",6,24,2022
"Bayern",13,25,2022
"Bayern",17,26,2022
"Bayern",7,27,2022
"Bayern",20,28,2022
"Bayern",13,29,2022
"Bayern",12,30,2022
"Bayern",10,31,2022
"Bayern",11,32,2022
"Bayern",7,33,2022
"Bayern",9,34,2022
"Bayern",6,35,2022
"Bayern",16,36,2022
"Bayern",15,37,2022
"Bayern",15,38,2022
"Bayern",17,39,2022
"Bayern",6,40,2022
"Bayern",13,41,2022
"Bayern",15,42,2022
"Bayern",9,43,2022
"Bayern",6,44,2022
"Bayern",5,45,2022
"Bayern",6,46,2022
"Bayern",6,47,2022
"Bayern",9,48,2022
"Bayern",14,49,2022
"Bayern",3,50,2022
"Berlin",2,1,2022
"Berlin",1,2,2022
"Berlin",2,3,2022
"Berlin",NA,4,2022
"Berlin",1,5,2022
"Berlin",1,6,2022
"Berlin",NA,7,2022
"Berlin",NA,8,2022
"Berlin",2,9,2022
"Berlin",3,10,2022
"Berlin",1,11,2022
"Berlin",1,12,2022
"Berlin",2,13,2022
"Berlin",NA,14,2022
"Berlin",NA,15,2022
"Berlin",2,16,2022
"Berlin",4,17,2022
"Berlin",NA,18,2022
"Berlin",3,19,2022
"Berlin",1,20,2022
"Berlin",1,21,2022
"Berlin",2,22,2022
"Berlin",5,23,2022
"Berlin",4,24,2022
"Berlin",1,25,2022
"Berlin",3,26,2022
"Berlin",2,27,2022
"Berlin",4,28,2022
"Berlin",2,29,2022
"Berlin",4,30,2022
"Berlin",2,31,2022
"Berlin",5,32,2022
"Berlin",4,33,2022
"Berlin",3,34,2022
"Berlin",2,35,2022
"Berlin",4,36,2022
"Berlin",2,37,2022
"Berlin",4,38,2022
"Berlin",4,39,2022
"Berlin",2,40,2022
"Berlin",3,41,2022
"Berlin",6,42,2022
"Berlin",4,43,2022
"Berlin",4,44,2022
"Berlin",5,45,2022
"Berlin",1,46,2022
"Berlin",2,47,2022
"Berlin",4,48,2022
"Berlin",2,49,2022
"Berlin",NA,50,2022
"Brandenburg",1,1,2022
"Brandenburg",NA,2,2022
"Brandenburg",NA,3,2022
"Brandenburg",1,4,2022
"Brandenburg",NA,5,2022
"Brandenburg",1,6,2022
"Brandenburg",NA,7,2022
"Brandenburg",NA,8,2022
"Brandenburg",NA,9,2022
"Brandenburg",NA,10,2022
"Brandenburg",1,11,2022
"Brandenburg",1,12,2022
"Brandenburg",NA,13,2022
"Brandenburg",NA,14,2022
"Brandenburg",NA,15,2022
"Brandenburg",NA,16,2022
"Brandenburg",1,17,2022
"Brandenburg",NA,18,2022
"Brandenburg",2,19,2022
"Brandenburg",NA,20,2022
"Brandenburg",2,21,2022
"Brandenburg",1,22,2022
"Brandenburg",2,23,2022
"Brandenburg",NA,24,2022
"Brandenburg",NA,25,2022
"Brandenburg",2,26,2022
"Brandenburg",2,27,2022
"Brandenburg",1,28,2022
"Brandenburg",2,29,2022
"Brandenburg",1,30,2022
"Brandenburg",NA,31,2022
"Brandenburg",NA,32,2022
"Brandenburg",NA,33,2022
"Brandenburg",1,34,2022
"Brandenburg",1,35,2022
"Brandenburg",NA,36,2022
"Brandenburg",NA,37,2022
"Brandenburg",1,38,2022
"Brandenburg",1,39,2022
"Brandenburg",NA,40,2022
"Brandenburg",NA,41,2022
"Brandenburg",1,42,2022
"Brandenburg",NA,43,2022
"Brandenburg",NA,44,2022
"Brandenburg",2,45,2022
"Brandenburg",NA,46,2022
"Brandenburg",NA,47,2022
"Brandenburg",NA,48,2022
"Brandenburg",1,49,2022
"Brandenburg",NA,50,2022
"Bremen",NA,1,2022
"Bremen",NA,2,2022
"Bremen",NA,3,2022
"Bremen",1,4,2022
"Bremen",NA,5,2022
"Bremen",NA,6,2022
"Bremen",NA,7,2022
"Bremen",NA,8,2022
"Bremen",NA,9,2022
"Bremen",NA,10,2022
"Bremen",NA,11,2022
"Bremen",NA,12,2022
"Bremen",NA,13,2022
"Bremen",NA,14,2022
"Bremen",NA,15,2022
