"stratum","value","week","year"
"A02..02",NA,1,2023
"A02..02",NA,2,2023
"A02..02",1,3,2023
"A02..02",NA,4,2023
"A02..02",NA,5,2023
"A06..06",NA,1,2023
"A06..06",NA,2,2023
"A06..06",1,3,2023
"A06..06",NA,4,2023
"A06..06",NA,5,2023
"A16..16",NA,1,2023
"A16..16",NA,2,2023
"A16..16",1,3,2023
"A16..16",NA,4,2023
"A16..16",NA,5,2023
"A27..27",1,1,2023
"A27..27",NA,2,2023
"A27..27",NA,3,2023
"A27..27",NA,4,2023
"A27..27",NA,5,2023
"A29..29",NA,1,2023
"A29..29",NA,2,2023
"A29..29",NA,3,2023
"A29..29",NA,4,2023
"A29..29",2,5,2023
"A31..31",NA,1,2023
"A31..31",NA,2,2023
"A31..31",NA,3,2023
"A31..31",NA,4,2023
"A31..31",1,5,2023
"A35..35",NA,1,2023
"A35..35",NA,2,2023
"A35..35",1,3,2023
"A35..35",NA,4,2023
"A35..35",NA,5,2023
"A36..36",NA,1,2023
"A36..36",1,2,2023
"A36..36",NA,3,2023
"A36..36",NA,4,2023
"A36..36",NA,5,2023
"A39..39",NA,1,2023
"A39..39",1,2,2023
"A39..39",NA,3,2023
"A39..39",NA,4,2023
"A39..39",NA,5,2023
"A43..43",NA,1,2023
"A43..43",2,2,2023
"A43..43",1,3,2023
"A43..43",NA,4,2023
"A43..43",NA,5,2023
"A46..46",1,1,2023
"A46..46",2,2,2023
"A46..46",NA,3,2023
"A46..46",NA,4,2023
"A46..46",NA,5,2023
"A47..47",1,1,2023
"A47..47",1,2,2023
"A47..47",1,3,2023
"A47..47",1,4,2023
"A47..47",NA,5,2023
"A49..49",NA,1,2023
"A49..49",1,2,2023
"A49..49",NA,3,2023
"A49..49",1,4,2023
"A49..49",NA,5,2023
"A51..51",NA,1,2023
"A51..51",1,2,2023
"A51..51",1,3,2023
"A51..51",NA,4,2023
"A51..51",NA,5,2023
"A52..52",NA,1,2023
"A52..52",1,2,2023
"A52..52",1,3,2023
"A52..52",1,4,2023
"A52..52",NA,5,2023
"A53..53",2,1,2023
"A53..53",NA,2,2023
"A53..53",NA,3,2023
"A53..53",1,4,2023
"A53..53",NA,5,2023
"A54..54",NA,1,2023
"A54..54",1,2,2023
"A54..54",NA,3,2023
"A54..54",1,4,2023
"A54..54",NA,5,2023
"A55..55",1,1,2023
"A55..55",1,2,2023
"A55..55",2,3,2023
"A55..55",1,4,2023
"A55..55",NA,5,2023
"A56..56",3,1,2023
"A56..56",1,2,2023
"A56..56",NA,3,2023
