"stratum","value","week","year"
"A02..02",NA,1,2025
"A02..02",1,2,2025
"A02..02",NA,3,2025
"A02..02",1,4,2025
"A02..02",NA,5,2025
"A03..03",NA,1,2025
"A03..03",1,2,2025
"A03..03",1,3,2025
"A03..03",NA,4,2025
"A03..03",NA,5,2025
"A04..04",NA,1,2025
"A04..04",NA,2,2025
"A04..04",NA,3,2025
"A04..04",1,4,2025
"A04..04",NA,5,2025
"A05..05",NA,1,2025
"A05..05",1,2,2025
"A05..05",1,3,2025
"A05..05",1,4,2025
"A05..05",NA,5,2025
"A06..06",1,1,2025
"A06..06",NA,2,2025
"A06..06",NA,3,2025
"A06..06",1,4,2025
"A06..06",NA,5,2025
"A07..07",NA,1,2025
"A07..07",NA,2,2025
"A07..07",NA,3,2025
"A07..07",1,4,2025
"A07..07",NA,5,2025
"A08..08",NA,1,2025
"A08..08",1,2,2025
"A08..08",NA,3,2025
"A08..08",NA,4,2025
"A08..08",NA,5,2025
"A09..09",NA,1,2025
"A09..09",1,2,2025
"A09..09",1,3,2025
"A09..09",1,4,2025
"A09..09",1,5,2025
"A10..10",NA,1,2025
"A10..10",NA,2,2025
"A10..10",NA,3,2025
"A10..10",1,4,2025
"A10..10",NA,5,2025
"A13..13",NA,1,2025
"A13..13",1,2,2025
"A13..13",NA,3,2025
"A13..13",NA,4,2025
"A13..13",NA,5,2025
"A14..14",1,1,2025
"A14..14",NA,2,2025
"A14..14",NA,3,2025
"A14..14",NA,4,2025
"A14..14",NA,5,2025
"A17..17",NA,1,2025
"A17..17",1,2,2025
"A17..17",NA,3,2025
"A17..17",NA,4,2025
"A17..17",NA,5,2025
"A18..18",NA,1,2025
"A18..18",NA,2,2025
"A18..18",1,3,2025
"A18..18",NA,4,2025
"A18..18",NA,5,2025
"A20..20",1,1,2025
"A20..20",NA,2,2025
"A20..20",1,3,2025
"A20..20",NA,4,2025
"A20..20",1,5,2025
"A21..21",NA,1,2025
"A21..21",1,2,2025
"A21..21",NA,3,2025
"A21..21",NA,4,2025
"A21..21",NA,5,2025
"A22..22",1,1,2025
"A22..22",NA,2,2025
"A22..22",NA,3,2025
"A22..22",NA,4,2025
"A22..22",NA,5,2025
"A23..23",NA,1,2025
"A23..23",1,2,2025
"A23..23",1,3,2025
"A23..23",NA,4,2025
"A23..23",NA,5,2025
"A24..24",NA,1,2025
"A24..24",NA,2,2025
"A24..24",NA,3,2025
"A24..24",NA,4,2025
"A24..24",1,5,2025
"A25..25",NA,1,2025
"A25..25",NA,2,2025
"A25..25",1,3,2025
"A25..25",NA,4,2025
"A25..25",NA,5,2025
"A26..26",1,1,2025
"A26..26",1,2,2025
"A26..26",NA,3,2025
"A26..26",NA,4,2025
"A26..26",NA,5,2025
"A27..27",NA,1,2025
"A27..27",NA,2,2025
"A27..27",1,3,2025
"A27..27",1,4,2025
"A27..27",NA,5,2025
