"stratum","value","week","year"
"A00..00",5,1,2025
"A00..00",5,2,2025
"A00..00",10,3,2025
"A00..00",9,4,2025
"A00..00",7,5,2025
"A00..00",8,6,2025
"A00..00",5,7,2025
"A00..00",8,8,2025
"A00..00",7,9,2025
"A00..00",4,10,2025
"A00..00",10,11,2025
"A00..00",12,12,2025
"A00..00",4,13,2025
"A00..00",6,14,2025
"A00..00",5,15,2025
"A00..00",5,16,2025
"A00..00",4,17,2025
"A00..00",8,18,2025
"A00..00",7,19,2025
"A00..00",6,20,2025
"A00..00",8,21,2025
"A00..00",5,22,2025
"A00..00",8,23,2025
"A00..00",9,24,2025
"A00..00",7,25,2025
"A00..00",8,26,2025
"A00..00",11,27,2025
"A00..00",14,28,2025
"A00..00",10,29,2025
"A00..00",13,30,2025
"A00..00",10,31,2025
"A00..00",10,32,2025
"A00..00",13,33,2025
"A00..00",10,34,2025
"A00..00",7,35,2025
"A00..00",7,36,2025
"A00..00",15,37,2025
"A00..00",11,38,2025
"A00..00",13,39,2025
"A00..00",11,40,2025
"A00..00",4,41,2025
"A01..01",5,1,2025
"A01..01",10,2,2025
"A01..01",18,3,2025
"A01..01",8,4,2025
"A01..01",14,5,2025
"A01..01",13,6,2025
"A01..01",13,7,2025
"A01..01",9,8,2025
"A01..01",8,9,2025
"A01..01",10,10,2025
"A01..01",6,11,2025
"A01..01",15,12,2025
"A01..01",5,13,2025
"A01..01",12,14,2025
"A01..01",9,15,2025
"A01..01",13,16,2025
"A01..01",14,17,2025
"A01..01",13,18,2025
"A01..01",21,19,2025
"A01..01",17,20,2025
"A01..01",12,21,2025
"A01..01",14,22,2025
"A01..01",15,23,2025
"A01..01",20,24,2025
"A01..01",23,25,2025
"A01..01",17,26,2025
"A01..01",19,27,2025
"A01..01",22,28,2025
"A01..01",15,29,2025
"A01..01",19,30,2025
"A01..01",26,31,2025
"A01..01",19,32,2025
"A01..01",19,33,2025
"A01..01",22,34,2025
"A01..01",15,35,2025
"A01..01",24,36,2025
"A01..01",24,37,2025
"A01..01",25,38,2025
"A01..01",19,39,2025
"A01..01",16,40,2025
"A01..01",6,41,2025
"A02..02",5,1,2025
"A02..02",9,2,2025
"A02..02",8,3,2025
"A02..02",9,4,2025
"A02..02",4,5,2025
"A02..02",7,6,2025
"A02..02",6,7,2025
"A02..02",1,8,2025
"A02..02",7,9,2025
"A02..02",8,10,2025
"A02..02",7,11,2025
"A02..02",7,12,2025
"A02..02",4,13,2025
"A02..02",5,14,2025
"A02..02",5,15,2025
"A02..02",5,16,2025
"A02..02",8,17,2025
"A02..02",10,18,2025
"A02..02",9,19,2025
"A02..02",10,20,2025
"A02..02",8,21,2025
"A02..02",3,22,2025
"A02..02",12,23,2025
"A02..02",10,24,2025
"A02..02",9,25,2025
"A02..02",6,26,2025
"A02..02",12,27,2025
"A02..02",13,28,2025
"A02..02",11,29,2025
"A02..02",14,30,2025
"A02..02",7,31,2025
"A02..02",12,32,2025
"A02..02",17,33,2025
"A02..02",16,34,2025
"A02..02",18,35,2025
"A02..02",22,36,2025
"A02..02",21,37,2025
"A02..02",14,38,2025
"A02..02",8,39,2025
"A02..02",11,40,2025
"A02..02",4,41,2025
"A03..03",3,1,2025
"A03..03",10,2,2025
"A03..03",8,3,2025
"A03..03",7,4,2025
"A03..03",7,5,2025
"A03..03",8,6,2025
"A03..03",3,7,2025
"A03..03",7,8,2025
"A03..03",2,9,2025
"A03..03",3,10,2025
"A03..03",9,11,2025
"A03..03",5,12,2025
"A03..03",4,13,2025
"A03..03",2,14,2025
"A03..03",7,15,2025
"A03..03",6,16,2025
"A03..03",9,17,2025
"A03..03",6,18,2025
"A03..03",8,19,2025
"A03..03",6,20,2025
"A03..03",9,21,2025
"A03..03",5,22,2025
"A03..03",6,23,2025
"A03..03",8,24,2025
"A03..03",6,25,2025
"A03..03",13,26,2025
"A03..03",11,27,2025
"A03..03",9,28,2025
"A03..03",7,29,2025
"A03..03",18,30,2025
"A03..03",13,31,2025
"A03..03",12,32,2025
"A03..03",11,33,2025
"A03..03",15,34,2025
"A03..03",9,35,2025
"A03..03",13,36,2025
"A03..03",14,37,2025
"A03..03",12,38,2025
"A03..03",11,39,2025
"A03..03",8,40,2025
"A03..03",6,41,2025
"A04..04",4,1,2025
"A04..04",5,2,2025
"A04..04",3,3,2025
"A04..04",4,4,2025
"A04..04",7,5,2025
"A04..04",4,6,2025
"A04..04",6,7,2025
"A04..04",NA,8,2025
"A04..04",4,9,2025
"A04..04",4,10,2025
"A04..04",2,11,2025
"A04..04",3,12,2025
"A04..04",7,13,2025
"A04..04",3,14,2025
"A04..04",3,15,2025
"A04..04",2,16,2025
"A04..04",3,17,2025
"A04..04",3,18,2025
"A04..04",7,19,2025
"A04..04",6,20,2025
"A04..04",6,21,2025
"A04..04",7,22,2025
"A04..04",5,23,2025
"A04..04",14,24,2025
"A04..04",9,25,2025
"A04..04",7,26,2025
"A04..04",6,27,2025
"A04..04",7,28,2025
"A04..04",5,29,2025
"A04..04",9,30,2025
"A04..04",7,31,2025
"A04..04",5,32,2025
"A04..04",11,33,2025
"A04..04",14,34,2025
"A04..04",8,35,2025
"A04..04",15,36,2025
"A04..04",11,37,2025
"A04..04",6,38,2025
"A04..04",7,39,2025
"A04..04",7,40,2025
"A04..04",4,41,2025
"A05..05",4,1,2025
"A05..05",4,2,2025
"A05..05",9,3,2025
"A05..05",3,4,2025
"A05..05",4,5,2025
"A05..05",2,6,2025
"A05..05",1,7,2025
"A05..05",5,8,2025
"A05..05",4,9,2025
"A05..05",4,10,2025
"A05..05",2,11,2025
"A05..05",2,12,2025
"A05..05",3,13,2025
"A05..05",5,14,2025
"A05..05",1,15,2025
"A05..05",7,16,2025
