"stratum","value","week","year"
"Baden.WÃ.rttemberg",8,1,2022
"Baden.WÃ.rttemberg",19,2,2022
"Bayern",26,1,2022
"Bayern",26,2,2022
"Berlin",10,1,2022
"Berlin",9,2,2022
"Brandenburg",13,1,2022
"Brandenburg",19,2,2022
"Bremen",1,1,2022
"Bremen",NA,2,2022
"Hamburg",3,1,2022
"Hamburg",5,2,2022
"Hessen",7,1,2022
"Hessen",14,2,2022
"Mecklenburg.Vorpommern",1,1,2022
"Mecklenburg.Vorpommern",5,2,2022
"Niedersachsen",21,1,2022
"Niedersachsen",12,2,2022
"Nordrhein.Westfalen",43,1,2022
"Nordrhein.Westfalen",45,2,2022
"Rheinland.Pfalz",12,1,2022
"Rheinland.Pfalz",3,2,2022
"Saarland",7,1,2022
"Saarland",3,2,2022
"Sachsen",24,1,2022
"Sachsen",21,2,2022
"Sachsen.Anhalt",5,1,2022
"Sachsen.Anhalt",7,2,2022
"Schleswig.Holstein",1,1,2022
"Schleswig.Holstein",4,2,2022
"ThÃ.ringen",10,1,2022
"ThÃ.ringen",11,2,2022
"Baden.WÃ.rttemberg",5,1,2021
"Baden.WÃ.rttemberg",5,2,2021
"Baden.WÃ.rttemberg",4,3,2021
"Baden.WÃ.rttemberg",5,4,2021
"Baden.WÃ.rttemberg",8,5,2021
"Baden.WÃ.rttemberg",7,6,2021
"Baden.WÃ.rttemberg",23,7,2021
"Baden.WÃ.rttemberg",2,8,2021
"Baden.WÃ.rttemberg",7,9,2021
"Baden.WÃ.rttemberg",10,10,2021
"Baden.WÃ.rttemberg",6,11,2021
"Baden.WÃ.rttemberg",10,12,2021
"Baden.WÃ.rttemberg",6,13,2021
"Baden.WÃ.rttemberg",7,14,2021
"Baden.WÃ.rttemberg",9,15,2021
"Baden.WÃ.rttemberg",11,16,2021
"Baden.WÃ.rttemberg",3,17,2021
"Baden.WÃ.rttemberg",10,18,2021
"Baden.WÃ.rttemberg",10,19,2021
"Baden.WÃ.rttemberg",18,20,2021
"Baden.WÃ.rttemberg",6,21,2021
"Baden.WÃ.rttemberg",6,22,2021
"Baden.WÃ.rttemberg",12,23,2021
"Baden.WÃ.rttemberg",33,24,2021
"Baden.WÃ.rttemberg",8,25,2021
"Baden.WÃ.rttemberg",10,26,2021
"Baden.WÃ.rttemberg",12,27,2021
"Baden.WÃ.rttemberg",8,28,2021
"Baden.WÃ.rttemberg",9,29,2021
"Baden.WÃ.rttemberg",7,30,2021
"Baden.WÃ.rttemberg",4,31,2021
"Baden.WÃ.rttemberg",7,32,2021
"Baden.WÃ.rttemberg",14,33,2021
"Baden.WÃ.rttemberg",20,34,2021
"Baden.WÃ.rttemberg",18,35,2021
"Baden.WÃ.rttemberg",25,36,2021
"Baden.WÃ.rttemberg",31,37,2021
"Baden.WÃ.rttemberg",10,38,2021
"Baden.WÃ.rttemberg",27,39,2021
"Baden.WÃ.rttemberg",12,40,2021
"Baden.WÃ.rttemberg",15,41,2021
"Baden.WÃ.rttemberg",18,42,2021
"Baden.WÃ.rttemberg",6,43,2021
"Baden.WÃ.rttemberg",13,44,2021
"Baden.WÃ.rttemberg",11,45,2021
"Baden.WÃ.rttemberg",18,46,2021
"Baden.WÃ.rttemberg",13,47,2021
"Baden.WÃ.rttemberg",12,48,2021
"Baden.WÃ.rttemberg",10,49,2021
"Baden.WÃ.rttemberg",24,50,2021
"Baden.WÃ.rttemberg",15,51,2021
"Baden.WÃ.rttemberg",13,52,2021
"Bayern",15,1,2021
"Bayern",22,2,2021
"Bayern",10,3,2021
"Bayern",10,4,2021
"Bayern",13,5,2021
"Bayern",17,6,2021
"Bayern",14,7,2021
"Bayern",19,8,2021
"Bayern",10,9,2021
"Bayern",15,10,2021
"Bayern",10,11,2021
"Bayern",9,12,2021
"Bayern",14,13,2021
"Bayern",5,14,2021
"Bayern",12,15,2021
"Bayern",14,16,2021
"Bayern",33,17,2021
"Bayern",13,18,2021
"Bayern",14,19,2021
"Bayern",25,20,2021
"Bayern",8,21,2021
"Bayern",5,22,2021
"Bayern",13,23,2021
"Bayern",13,24,2021
"Bayern",24,25,2021
"Bayern",13,26,2021
"Bayern",17,27,2021
"Bayern",17,28,2021
"Bayern",17,29,2021
"Bayern",25,30,2021
"Bayern",12,31,2021
"Bayern",7,32,2021
"Bayern",12,33,2021
"Bayern",20,34,2021
"Bayern",23,35,2021
"Bayern",23,36,2021
"Bayern",28,37,2021
"Bayern",25,38,2021
"Bayern",28,39,2021
"Bayern",16,40,2021
"Bayern",10,41,2021
"Bayern",32,42,2021
"Bayern",19,43,2021
"Bayern",25,44,2021
"Bayern",20,45,2021
"Bayern",29,46,2021
"Bayern",22,47,2021
"Bayern",16,48,2021
"Bayern",25,49,2021
"Bayern",15,50,2021
"Bayern",27,51,2021
"Bayern",19,52,2021
"Berlin",1,1,2021
"Berlin",5,2,2021
"Berlin",4,3,2021
"Berlin",3,4,2021
"Berlin",1,5,2021
"Berlin",3,6,2021
"Berlin",5,7,2021
"Berlin",4,8,2021
"Berlin",7,9,2021
"Berlin",7,10,2021
"Berlin",5,11,2021
"Berlin",11,12,2021
"Berlin",5,13,2021
"Berlin",5,14,2021
"Berlin",15,15,2021
"Berlin",6,16,2021
"Berlin",8,17,2021
"Berlin",6,18,2021
"Berlin",8,19,2021
"Berlin",8,20,2021
"Berlin",9,21,2021
"Berlin",12,22,2021
"Berlin",4,23,2021
"Berlin",7,24,2021
"Berlin",4,25,2021
"Berlin",2,26,2021
"Berlin",11,27,2021
"Berlin",6,28,2021
"Berlin",1,29,2021
"Berlin",2,30,2021
"Berlin",8,31,2021
"Berlin",4,32,2021
"Berlin",6,33,2021
"Berlin",9,34,2021
"Berlin",5,35,2021
"Berlin",2,36,2021
"Berlin",9,37,2021
"Berlin",9,38,2021
"Berlin",4,39,2021
"Berlin",6,40,2021
"Berlin",3,41,2021
"Berlin",3,42,2021
"Berlin",8,43,2021
"Berlin",3,44,2021
"Berlin",8,45,2021
"Berlin",4,46,2021
"Berlin",6,47,2021
"Berlin",7,48,2021
"Berlin",7,49,2021
"Berlin",10,50,2021
"Berlin",15,51,2021
"Berlin",5,52,2021
"Brandenburg",7,1,2021
"Brandenburg",2,2,2021
"Brandenburg",5,3,2021
"Brandenburg",4,4,2021
"Brandenburg",2,5,2021
"Brandenburg",3,6,2021
"Brandenburg",4,7,2021
"Brandenburg",6,8,2021
"Brandenburg",7,9,2021
"Brandenburg",5,10,2021
"Brandenburg",6,11,2021
"Brandenburg",7,12,2021
"Brandenburg",6,13,2021
"Brandenburg",5,14,2021
"Brandenburg",9,15,2021
"Brandenburg",5,16,2021
"Brandenburg",11,17,2021
"Brandenburg",10,18,2021
"Brandenburg",6,19,2021
"Brandenburg",7,20,2021
"Brandenburg",7,21,2021
"Brandenburg",3,22,2021
"Brandenburg",10,23,2021
"Brandenburg",9,24,2021
"Brandenburg",10,25,2021
"Brandenburg",3,26,2021
"Brandenburg",10,27,2021
"Brandenburg",2,28,2021
"Brandenburg",4,29,2021
"Brandenburg",3,30,2021
"Brandenburg",10,31,2021
"Brandenburg",3,32,2021
"Brandenburg",6,33,2021
"Brandenburg",10,34,2021
"Brandenburg",5,35,2021
"Brandenburg",7,36,2021
"Brandenburg",7,37,2021
"Brandenburg",3,38,2021
"Brandenburg",8,39,2021
"Brandenburg",7,40,2021
"Brandenburg",4,41,2021
"Brandenburg",1,42,2021
"Brandenburg",7,43,2021
"Brandenburg",7,44,2021
"Brandenburg",4,45,2021
"Brandenburg",5,46,2021
"Brandenburg",7,47,2021
"Brandenburg",2,48,2021
"Brandenburg",3,49,2021
"Brandenburg",5,50,2021
"Brandenburg",12,51,2021
"Brandenburg",5,52,2021
"Bremen",1,1,2021
"Bremen",NA,2,2021
"Bremen",NA,3,2021
"Bremen",NA,4,2021
"Bremen",1,5,2021
"Bremen",NA,6,2021
"Bremen",2,7,2021
"Bremen",NA,8,2021
"Bremen",NA,9,2021
"Bremen",1,10,2021
"Bremen",2,11,2021
"Bremen",NA,12,2021
"Bremen",NA,13,2021
"Bremen",1,14,2021
"Bremen",NA,15,2021
"Bremen",NA,16,2021
"Bremen",2,17,2021
"Bremen",NA,18,2021
"Bremen",2,19,2021
"Bremen",1,20,2021
"Bremen",NA,21,2021
"Bremen",NA,22,2021
"Bremen",NA,23,2021
"Bremen",1,24,2021
"Bremen",3,25,2021
"Bremen",NA,26,2021
"Bremen",1,27,2021
"Bremen",NA,28,2021
"Bremen",1,29,2021
"Bremen",NA,30,2021
"Bremen",NA,31,2021
"Bremen",1,32,2021
"Bremen",2,33,2021
"Bremen",1,34,2021
"Bremen",2,35,2021
"Bremen",1,36,2021
"Bremen",3,37,2021
"Bremen",2,38,2021
"Bremen",2,39,2021
"Bremen",2,40,2021
"Bremen",1,41,2021
"Bremen",NA,42,2021
"Bremen",1,43,2021
"Bremen",NA,44,2021
"Bremen",2,45,2021
"Bremen",NA,46,2021
"Bremen",1,47,2021
"Bremen",1,48,2021
"Bremen",2,49,2021
"Bremen",2,50,2021
"Bremen",1,51,2021
"Bremen",4,52,2021
"Hamburg",1,1,2021
"Hamburg",2,2,2021
"Hamburg",3,3,2021
"Hamburg",5,4,2021
"Hamburg",2,5,2021
"Hamburg",4,6,2021
"Hamburg",5,7,2021
"Hamburg",2,8,2021
"Hamburg",4,9,2021
"Hamburg",3,10,2021
"Hamburg",2,11,2021
"Hamburg",1,12,2021
"Hamburg",7,13,2021
"Hamburg",1,14,2021
"Hamburg",NA,15,2021
"Hamburg",4,16,2021
"Hamburg",3,17,2021
"Hamburg",2,18,2021
"Hamburg",3,19,2021
"Hamburg",3,20,2021
"Hamburg",4,21,2021
"Hamburg",3,22,2021
"Hamburg",NA,23,2021
"Hamburg",1,24,2021
"Hamburg",3,25,2021
"Hamburg",3,26,2021
"Hamburg",1,27,2021
"Hamburg",2,28,2021
"Hamburg",4,29,2021
"Hamburg",1,30,2021
"Hamburg",3,31,2021
"Hamburg",2,32,2021
"Hamburg",3,33,2021
"Hamburg",3,34,2021
"Hamburg",2,35,2021
"Hamburg",1,36,2021
"Hamburg",NA,37,2021
"Hamburg",1,38,2021
"Hamburg",1,39,2021
"Hamburg",4,40,2021
"Hamburg",2,41,2021
"Hamburg",2,42,2021
"Hamburg",2,43,2021
"Hamburg",3,44,2021
"Hamburg",NA,45,2021
"Hamburg",1,46,2021
"Hamburg",6,47,2021
"Hamburg",2,48,2021
"Hamburg",4,49,2021
"Hamburg",2,50,2021
"Hamburg",4,51,2021
"Hamburg",4,52,2021
"Hessen",2,1,2021
"Hessen",3,2,2021
"Hessen",9,3,2021
"Hessen",3,4,2021
"Hessen",3,5,2021
"Hessen",14,6,2021
"Hessen",6,7,2021
"Hessen",24,8,2021
"Hessen",8,9,2021
"Hessen",6,10,2021
"Hessen",18,11,2021
"Hessen",19,12,2021
"Hessen",6,13,2021
"Hessen",6,14,2021
"Hessen",15,15,2021
"Hessen",7,16,2021
"Hessen",7,17,2021
"Hessen",2,18,2021
"Hessen",4,19,2021
"Hessen",3,20,2021
"Hessen",10,21,2021
"Hessen",6,22,2021
"Hessen",6,23,2021
"Hessen",10,24,2021
"Hessen",7,25,2021
"Hessen",4,26,2021
"Hessen",6,27,2021
"Hessen",4,28,2021
"Hessen",7,29,2021
"Hessen",6,30,2021
"Hessen",6,31,2021
"Hessen",7,32,2021
"Hessen",6,33,2021
"Hessen",16,34,2021
"Hessen",6,35,2021
"Hessen",18,36,2021
"Hessen",12,37,2021
"Hessen",13,38,2021
"Hessen",4,39,2021
"Hessen",11,40,2021
"Hessen",7,41,2021
"Hessen",6,42,2021
"Hessen",10,43,2021
"Hessen",9,44,2021
"Hessen",17,45,2021
"Hessen",17,46,2021
"Hessen",15,47,2021
"Hessen",14,48,2021
"Hessen",4,49,2021
"Hessen",5,50,2021
"Hessen",4,51,2021
"Hessen",8,52,2021
"Mecklenburg.Vorpommern",3,1,2021
"Mecklenburg.Vorpommern",3,2,2021
"Mecklenburg.Vorpommern",12,3,2021
"Mecklenburg.Vorpommern",11,4,2021
"Mecklenburg.Vorpommern",10,5,2021
"Mecklenburg.Vorpommern",31,6,2021
"Mecklenburg.Vorpommern",25,7,2021
"Mecklenburg.Vorpommern",15,8,2021
"Mecklenburg.Vorpommern",9,9,2021
"Mecklenburg.Vorpommern",11,10,2021
"Mecklenburg.Vorpommern",6,11,2021
"Mecklenburg.Vorpommern",8,12,2021
"Mecklenburg.Vorpommern",9,13,2021
"Mecklenburg.Vorpommern",6,14,2021
"Mecklenburg.Vorpommern",9,15,2021
"Mecklenburg.Vorpommern",8,16,2021
"Mecklenburg.Vorpommern",7,17,2021
"Mecklenburg.Vorpommern",11,18,2021
"Mecklenburg.Vorpommern",3,19,2021
"Mecklenburg.Vorpommern",11,20,2021
"Mecklenburg.Vorpommern",2,21,2021
